file	klass	player	mode	frames	move_nonzero_frac	move_active_frac	med_yaw_delta	max_yaw_delta	yaw_jump_frac	duration_s	cmd_rate	eof_clean
quakeworld__CHTV_PAIN-North_America_DS-North_America_isym_DM3_QuakeWorld_4v4__PAINvsDS.qwd	ambiguous	painvsds	team/4on4	34097	0.4556	0.4556	0.0	180.0	0.0009	445.397949	76.554	True
quakeworld__CHTV_chrisandothers-USA_aimbot-USA_chris_dm3_QWCA_Domination__botvsall.qwd	ambiguous	botvsall	team/4on4	12833	0.5141	0.5074	0.0	177.71	0.0005	295.190918	43.474	True
quakeworld__CHTV_joi-Sweden_none-_joi_dm3_QuakeWorld_Trick__joitrick.qwd	ambiguous	joitrick	team/4on4	845	0.3302	0.3302	0.0	179.06	0.0095	11.816	71.513	True
quakeworld__CHTV_fm-phil-USA_none-USA_fm-phil_dm3_QuakeWorld_Trick__gmoney_take2.qwd	ambiguous	gmoney	team/4on4	617	0.4133	0.4068	0.198	13.86	0.0	8.625626	71.531	True
quakeworld__CHTV_fm-phil-USA_none-USA_fm-phil_dm3_QuakeWorld_Trick__gmoney_take3.qwd	ambiguous	gmoney	team/4on4	545	0.4055	0.4018	0.0	6.34	0.0	8.103638	67.254	True
quakeworld__CHTV_JSS-Russia_None-Russia_JSS_Trick_pack_QW_Trick__JSS_[dm3]_2.qwd	ambiguous	jss	team/4on4	504	0.5397	0.3651	0.0	8.57	0.0	6.631714	75.998	True
quakeworld__CHTV_Newtov-USA_None-None_Newtov_Various_QuakeWorld_Trick__DM3_trick6.qwd	ambiguous	trick6	team/4on4	483	0.2277	0.2257	0.0	10.05	0.0	6.783203	71.205	True
quakeworld__CHTV_Newtov-USA_Trick-USA_Newtov_DM3_QuakeWorld_Trick__trick3.qwd	ambiguous	trick3	team/4on4	478	0.4331	0.4331	0.004	9.45	0.0	7.001465	68.271	True
quakeworld__CHTV_blah-Austria_no-Austria_blah_dm3_dm5_dm6_e1m2_QuakeWorld_1v1__dm5headbangdoublejump2.qwd	ambiguous	dm5headbangdoublejump2	duel	452	0.2478	0.2478	0.0	11.36	0.0	5.864	77.08	True
quakeworld__CHTV_JSS-Russia_None-Russia_JSS_Trick_pack_QW_Trick__JSS_[dm3]_4.qwd	ambiguous	jss	team/4on4	417	0.4293	0.4293	0.38	8.57	0.0	5.487427	75.992	True
