demo	player	tier	split	trained_frames	raw_frames	paired_cov	peak_hspeed	p50_hspeed	source_sha256
quakeworld__CHTV_DvL-Portugal_4ng3ls-Portugal_all_dm3_QuakeWorld_4v4__26-06-03_insane-dvl-4ng3ls__dm3.qwd	4ng3ls	C	train	10398	93674	0.627	1089.0	327.1	a62d1f8aa0d84f21ed0736842ea0edb460963cd7932c5615638668e89b99845e
quakeworld__CHTV_DvL-Portugal_4ng3ls-Portugal_all_dm3_QuakeWorld_4v4__26-06-03_padfoot-dvl-4ng3ls__dm3.qwd	4ng3ls	C	train	5562	77366	0.54	1132.5	327.7	070bcd2b55a30da74ac3d7444a1f0a83d2c46c7c03faeaa64b473c505c982497
quakeworld__CHTV_Firing_Squad-Europe_Koff_mix-Europe_blixem_dm3_QW_4v4__4on4_[fs]_vs_koff_dm3_24-11-04_000.qwd	4on4	B	train	43547	92269	0.862	1369.9	319.3	4699b98f4f91733cfbb5695044583a343c668504df855f97dc70afcaf620f6cf
quakeworld__CHTV_FraggersUnited-Finland_FourKings-UK_fragunit-rust_dm3_QuakeWorld_4v4_NQR__4on4_fragunit-rust_[-fu-]_vs_[4k]_dm3__02-9-24_.qwd	4on4	A	train	25384	86389	0.969	1225.1	317.3	81f64e6cf35d7942fba2c5b866fc049e06ef5a65a46258f0f58ecf3be979067a
smackdown__fith-vs-5-arcane-dm3__5-1.qwd	?	C	train	15677	87731	0.399	1159.6	258.0	b3cb7eb0504ef026296d63de5f0719369f67e2aaf013590be6f048092bf89743
quakeworld__CHTV_naDaghda-Ireland_ClanAstral-Denmark_Overlord_dm3_QuakeWorld_4v4__A_nD_clanbase_Overlord.qwd	a	B	train	13084	87483	0.85	1245.0	319.9	fe9cab4491124b1df75fe3bcab65a6246771dd67d92420ff82fde5b313ae7927
SmackDown5__game_786_gs_d_1_dm3_abc.qwd	abc	B	train	23489	86398	0.767	1109.6	323.0	3a2138dbbde44c252d89e54a7e58ed3b1ae40b97c7646fbc913873069488fd33
smackdown2__RC_L_1_dm3_ace.qwd	ace	B	train	8716	87362	0.823	1511.6	318.6	d5735eadb3c2c26729f4f795b08c862dee3543ddea9892e528a9d01262ed6d9f
quakeworld__CHTV_phil-USA_noone-USA_phil_dm3_QWCA_Trick__across.qwd	across	B	train	176	3233	0.895	665.6	483.7	b37375955e7d93798bd90f5849f65f886f6298289d4b4a559d04fc13b459419a
quakeworld__CHTV_fm-phil-USA_trickdemo-USA_fm-phil_DM3_QuakeWorld_Trick__acrossZ.qwd	acrossz	C	train	218	1493	0.688	621.7	459.0	df0b3aebf4af1db6113b19f436b9ad1deec383303bc87cd5c99ce48ef1801b50
